JIM CRAMER: Tonight, we got the single most important quarter of this entire earnings season when NVIDIA reported. There was a lot of hand-wringing about this one as usual, but NVIDIA delivered a huge set of numbers, including a sizable top and bottom line beat, healthy revenue guidance for the current quarter, even after taking an $8 billion sales hit on those export controls that prevent him from doing lots of business in China. So, how did they pull it off? Let’s go straight to the source with the man I call the modern-day Leonardo da Vinci, Jensen Huang, the co-founder, president and CEO of NVIDIA. Well, Jensen, welcome back to “Mad Money.”  

JENSEN HUANG:  Hey, Jim. It’s great to be here.

CRAMER:  Alright, so let’s go to -- it’s a remarkable quarter in every single way, but you do say, I’m going to go right there, that China is positioned to lead globally and you do not think that, unless you can sell to China, you can necessarily lead with them. And I look at this market and I’m saying there’s $50 billion up for grab. I actually think it could literally be all yours if there weren’t export controls. Am I wrong? And how much of that money would flow back to the United States if you could do the sales?

HUANG:  NVIDIA’s market share in China was about 95 percent four years ago. It’s about 50 percent today because of the limitations on the products that we sell. $50 billion a year market today, it’s growing, just like AI is growing everywhere. Over the course of the next, this four years, the president’s administration, we’re probably talking about a few hundred billion dollars worth of revenues to NVIDIA, probably tens of billions of dollars of taxes, revenues to the country, thousands of jobs, incredible, incredible opportunity. But more, strategically, more importantly, this is very important.

CRAMER: Okay.

HUANG:  First of all, the China market is, of course, very large, but it’s also the home of 50 percent of the world’s AI researchers. The platform that succeeds is the platform with the most developers. Just like iPhone is successful because of lots of developers, Windows is successful because of lots of developers, all these platforms succeed because there are a lot of developers. China is home to 50 percent of the AI researchers in the world. And so we want the world to build on American technology stack. We want every developer in the world to prefer the American technology stacks. Once that happens, the developers develop on American technology stacks, American technology stacks will run AI the best all over the world. And so this is, that’s probably the most important strategic reason to be in China, because there are so many developers there and because the world is going to adopt technology from one country or another. And we prefer it to be the American technology stack.

CRAMER:  Well, you know the president has a plan. You say that. He has a vision, and you trust him. You say that. I have to believe that you think that he has to see, either see the light, or he has, and that things that look so dire right now in China may not be as dire, and there could be even as soon as next quarter more business being done than we thought after tonight.

HUANG:  It’s hard to tell. But the most important thing is this, Jim. Our president wants America to win. And he also recognizes that this is an important market. It’s a very large market. And the revenues that it could generate for the United States is significant. It’s just incredible, $50 billion this year. Look, we’re talking about the size of a Boeing, not a Boeing plane, Boeing the company. This is an enormous market. And so I think the opportunity left behind is quite substantial. This is also an excellent way to improve our trade deficit.

